day,2012,2013,2014,2015,2016,2017,2018,2019,2020
232,0.42582,0.161,1.21835,0.26524,0.68211,0.456,1.33,0.065,0.22797
233,0.353,0.181,0.95405,0.15093,0.2421,0.393,1.029,0.099,0.2162
234,0.34817,0.198,0.67798,0.12904,0.38146,0.332,0.963,0.132,0.20341
235,0.30403,0.213,0.62421,0.11526,0.26625,0.321,0.805,0.115,0.17669
236,0.27379,0.221,0.52534,0.13408,0.18594,0.407,0.726,0.111,0.16251
237,0.25996,0.223,0.41968,0.1269,0.18415,0.432,0.648,0.198,0.14097
238,0.77191,0.175,0.37596,0.12135,0.38772,0.408,0.589,0.16,0.14022
239,0.36195,0.193,0.29303,0.10834,0.27372,0.663,0.511,0.431,0.14245
240,0.2885,0.178,0.28258,0.10649,0.19654,0.714,0.542,0.308,0.13655
241,0.28024,0.174,0.25115,0.11363,0.16316,0.464,0.454,0.198,0.13092
242,0.24334,0.168,0.22367,0.09665,0.18603,0.373,0.395,0.503,1.81823
243,0.23116,0.157,0.15578,0.10274,0.17594,0.328,0.381,0.389,0.44838
244,0.21806,0.159,0.1443,0.09414,0.15368,0.312,0.32,0.183,1.06496
245,0.21496,0.38,0.12492,0.10031,0.14121,0.318,0.301,0.133,0.99204
246,0.214,0.238,0.112,0.08764,0.13003,0.308,1.303,0.096,0.38382
247,0.2211,0.206,0.1164,0.08613,0.11672,0.297,0.714,0.114,0.27976
248,0.20924,0.158,0.1157,0.0823,0.10489,0.278,1.262,0.115,0.39735
249,0.21125,0.164,0.43283,0.07251,0.0942,0.238,2.905,0.119,0.20479
250,0.20876,0.155,0.21305,0.05672,0.11613,0.2,1.64,0.108,0.14429
251,0.19852,0.165,0.13804,0.0429,0.12902,0.167,2.301,0.124,0.122
252,0.20438,0.161,0.12297,0.22,0.13986,0.186,0.925,0.139,0.82966
253,0.20385,0.131,0.10181,0.12448,0.41284,0.162,0.544,0.13,0.79701
254,0.19646,0.132,0.09745,0.0865,0.26048,0.13,0.436,0.145,0.3371
255,0.18834,0.138,0.1679,0.08293,0.21683,0.105,0.433,0.16,0.29718
256,0.29582,0.119,0.1075,0.08041,0.20137,0.087,0.281,0.172,0.26626
257,0.27527,0.138,0.09587,0.07431,0.30083,0.079,0.456,0.186,0.25529
258,0.2183,0.139,0.08428,0.06509,0.37422,0.062,0.3,0.191,0.25188
259,0.32853,0.113,0.0639,0.07054,0.25578,0.054,0.156,0.18,0.24654
260,0.29908,0.124,0.06813,0.05118,0.25616,0.042,0.13,0.173,0.24866
261,0.24368,0.121,0.0865,0.04173,0.70004,0.031,0.14,0.193,0.24116
262,0.22002,0.39,0.13293,0.06024,0.37789,0.038,0.156,0.207,0.25211
263,0.19961,1.172,0.12054,0.07746,0.318,0.045,0.357,0.584,0.24447
264,0.17339,0.338,0.14043,0.0496,0.2777,0.05,1.479,0.242,0.33479
265,0.18741,0.254,0.12414,0.05486,0.25271,0.059,3.012,0.175,0.52233
266,0.18534,0.216,0.15773,0.05367,0.19243,0.066,0.698,0.164,0.34636
267,0.18978,0.184,0.15287,0.05302,0.16882,0.068,0.516,0.125,0.28796
268,0.16239,0.164,0.16369,0.05689,0.91201,0.078,0.424,0.159,0.25428
269,0.1645,0.151,0.14995,0.0529,0.46982,0.089,0.898,0.13,0.23639
270,0.16797,0.148,0.16796,0.05782,0.18527,0.415,0.508,0.108,0.24839
271,0.16218,0.405,0.17407,0.04888,0.12212,0.247,0.394,0.1,0.21959
272,1.00591,0.351,0.18216,0.06593,0.08964,0.145,0.354,0.105,0.20376
273,0.65259,0.233,0.2074,0.05765,0.0742,0.137,0.338,0.089,0.17516
274,0.28612,0.196,0.21392,0.0573,0.05345,0.121,0.281,0.096,0.16854
275,0.20166,0.188,0.76641,0.07925,0.04035,0.118,0.274,0.098,0.14802
276,0.17678,0.202,0.83433,0.0598,0.0298,0.342,0.25,0.098,0.12043
277,0.16086,0.202,0.44658,0.046,0.03793,0.391,0.219,0.092,0.1067
278,0.13362,0.413,0.42774,0.0331,0.04787,0.179,0.189,0.087,0.08545
279,0.11757,0.421,3.32959,0.04018,0.06259,0.149,0.313,0.084,0.09474
280,0.09659,0.27,0.91757,0.06609,0.39307,0.129,0.307,0.131,0.1141
281,0.08464,0.207,0.897,0.08297,0.1435,0.11,0.52,0.098,0.12573
282,0.07326,0.167,0.6852,0.09182,0.12746,0.105,0.829,0.077,0.12887
283,0.0642,0.147,0.50503,0.12315,0.12512,0.197,0.413,0.22,0.13301
284,0.07378,0.132,1.68546,0.16249,0.12943,0.114,0.335,0.403,0.14713
285,0.08691,0.135,0.61086,0.19788,0.12641,0.093,0.556,0.154,0.15813
286,0.09751,0.152,2.6158,0.30042,0.13122,0.085,1.585,0.099,0.14787
287,0.46921,0.502,0.53114,0.26684,0.14187,0.077,0.748,0.084,0.14965
288,0.16005,0.322,0.32619,0.32295,0.13439,0.123,1.735,0.078,0.16187
289,0.14179,0.411,0.25132,0.34744,0.13094,0.064,1.52,0.078,0.17576
290,0.12741,0.189,0.21369,0.47635,0.127,0.067,0.966,0.078,0.18337
291,0.10759,0.155,0.16644,0.59229,0.12828,0.073,0.877,0.082,0.18086
292,0.10878,0.135,0.12741,0.913,0.13126,0.08,1.087,0.098,0.17529
293,0.10518,0.109,0.0994,0.86916,0.61003,0.082,0.814,0.397,0.20881
294,0.10443,0.096,0.12114,0.71303,0.20871,0.096,0.669,0.781,0.18231
295,0.09776,0.11,0.13872,3.30389,0.18478,0.49,0.553,0.21,0.17859
296,0.09092,0.126,0.14775,8.07458,0.17858,0.145,0.484,0.149,0.99873
297,0.08303,0.148,0.15567,5.58369,0.16203,0.12,1.601,0.508,0.32167
298,0.09165,0.161,0.16378,1.36991,0.15834,0.108,1.107,0.614,0.24865
299,0.0997,0.68,0.17551,0.93895,0.16386,0.104,0.725,0.287,0.43683
300,0.0982,1.012,0.17126,0.7622,0.16953,0.106,0.572,0.193,0.33898
301,0.10328,0.42,0.19731,0.66873,0.17033,0.113,0.505,0.174,0.67738
302,0.09718,0.331,0.22507,0.57348,0.17816,0.117,0.464,0.387,0.35933
303,0.10938,0.327,0.222,2.3081,0.16954,0.113,0.395,0.674,0.28581
304,0.11108,0.292,0.28494,3.04266,0.16378,0.106,0.867,0.312,0.26966
305,0.10666,0.201,0.32827,0.82726,0.16495,0.101,0.592,0.268,0.26058
306,0.10687,0.175,0.33253,0.6401,0.14375,0.089,0.406,0.262,0.2361
307,0.10199,0.15,0.32658,0.48537,0.52055,0.084,0.638,0.223,0.22072
308,0.09216,0.187,1.40844,0.4149,0.21362,0.077,0.628,0.192,0.22307
309,0.08196,0.413,0.992,0.41471,0.18989,0.068,0.393,0.228,0.2089
310,0.0733,0.374,0.49415,0.36433,0.27713,0.059,0.392,0.241,0.19291
311,0.09589,0.219,0.38727,0.35862,1.14477,0.072,0.728,0.633,0.20728
312,0.14021,0.196,0.31153,0.28102,0.743,0.275,0.463,0.327,0.2013
